EmployeeID,Department,Salary,Tenure,Attrition,PerformanceRating,Age,Gender,JoiningDate,EducationLevel
218,HR,73081,34,No,3,32,Male,30-03-2021,Bachelor
223,HR,74043,90,No,3,27,Male,11-08-2020,Master
233,HR,81450,88,No,4,56,Female,07-07-2020,Bachelor
236,HR,44409,94,No,2,57,Female,14-09-2022,Doctorate
237,HR,97857,16,No,2,22,Female,14-11-2024,Master
242,HR,55419,46,No,4,41,Female,31-05-2019,Bachelor
248,HR,51851,63,Yes,3,49,Female,23-12-2014,Bachelor
252,HR,57646,79,No,4,40,Female,18-05-2023,Master
257,HR,111023,47,Yes,4,54,Female,27-09-2022,Master
259,HR,59668,46,No,4,29,Female,28-04-2016,Bachelor
260,HR,45467,83,No,3,30,Female,17-11-2019,Bachelor
261,HR,73846,26,No,1,41,Female,12-03-2021,Bachelor
268,HR,71300,32,No,1,28,Female,11-05-2023,Doctorate
270,HR,116684,69,No,2,26,Female,13-09-2024,Master
273,HR,110199,98,Yes,3,22,Male,23-04-2023,Doctorate
275,HR,89347,21,No,1,50,Female,25-05-2018,Bachelor
276,HR,114588,27,No,5,26,Female,21-11-2024,Bachelor
279,HR,98424,53,No,3,41,Female,13-04-2016,Bachelor
281,HR,88580,46,No,1,32,Male,28-10-2015,Bachelor
291,HR,108260,117,No,1,51,Female,18-05-2024,Bachelor
297,HR,63624,18,No,3,59,Male,11-09-2017,Bachelor
298,HR,45542,78,No,3,26,Female,02-10-2019,Bachelor
303,HR,45160,66,No,2,45,Female,16-12-2018,High School
306,HR,78851,32,No,3,58,Female,26-12-2016,Bachelor
307,HR,49291,71,No,4,32,Female,27-09-2016,Bachelor
318,HR,54642,59,No,3,22,Female,24-10-2015,Master
321,HR,105339,83,No,2,53,Male,17-12-2019,High School
324,HR,60971,120,No,3,31,Male,17-12-2020,Master
335,HR,101251,50,Yes,5,28,Female,16-03-2020,Master
351,HR,85907,95,No,2,53,Female,24-02-2015,Doctorate
357,HR,71124,39,Yes,3,57,Male,12-02-2018,Bachelor
360,HR,58868,28,Yes,2,25,Male,23-01-2021,Doctorate
362,HR,106375,70,No,3,33,Female,11-10-2022,Bachelor
366,HR,79712,55,No,5,33,Male,11-01-2022,Master
374,HR,66582,72,No,5,37,Male,25-08-2023,Master
380,HR,62274,65,No,3,23,Male,19-01-2023,Master
381,HR,73651,36,No,3,50,Male,27-08-2023,Doctorate
382,HR,100652,54,No,2,30,Male,10-10-2023,High School
383,HR,73967,42,No,2,46,Female,24-01-2018,Bachelor
387,HR,42927,48,No,5,43,Female,21-11-2021,Doctorate
389,HR,97809,34,Yes,2,44,Male,30-01-2017,Master
392,HR,112604,84,Yes,2,45,Male,28-04-2024,High School
396,HR,58298,22,No,3,57,Male,30-07-2016,Bachelor
398,HR,118856,58,Yes,2,39,Female,02-05-2019,Bachelor
399,HR,44621,31,No,3,27,Female,19-02-2019,Master
405,HR,105357,78,No,2,36,Male,14-05-2020,Bachelor
407,HR,93251,81,No,2,49,Female,20-07-2024,Master
408,HR,101380,40,Yes,2,22,Female,15-01-2016,Doctorate
414,HR,77722,27,No,4,30,Male,17-02-2022,Doctorate
417,HR,43407,100,No,3,52,Male,25-11-2015,Master
418,HR,109248,68,No,4,42,Male,08-03-2024,Bachelor
421,HR,95454,105,Yes,3,30,Female,20-03-2021,Bachelor
430,HR,115335,105,No,2,31,Male,30-01-2021,Master
435,HR,50058,84,Yes,3,55,Female,04-03-2022,Master
449,HR,63149,107,Yes,4,40,Male,01-10-2017,Bachelor
450,HR,89860,58,No,4,50,Male,18-03-2018,Bachelor
452,HR,57744,105,No,4,31,Male,31-10-2020,Bachelor
461,HR,92278,23,No,4,34,Male,22-03-2019,Bachelor
467,HR,118306,28,No,3,46,Male,02-10-2022,Bachelor
472,HR,78562,16,Yes,5,31,Female,11-07-2021,Master
473,HR,55148,30,No,2,48,Male,04-04-2020,Master
477,HR,99740,91,No,4,29,Female,08-05-2024,Bachelor
481,HR,44535,37,No,3,46,Female,19-10-2015,High School
485,HR,88190,117,Yes,3,31,Female,09-04-2018,Master
486,HR,95858,54,No,2,57,Female,26-12-2016,Bachelor
488,HR,65454,119,No,2,60,Female,16-09-2019,Master
489,HR,97169,86,Yes,4,24,Male,04-06-2024,Bachelor
491,HR,74495,89,No,3,24,Male,21-03-2017,Bachelor
496,HR,64140,18,Yes,2,25,Female,25-01-2019,Bachelor
501,HR,93486,50,No,4,58,Female,18-03-2024,Bachelor
502,HR,64756,112,No,2,54,Female,11-11-2021,High School
505,HR,117293,33,No,5,45,Female,15-03-2021,Bachelor
509,HR,48015,90,No,2,38,Male,13-08-2021,Bachelor
532,HR,76673,14,Yes,2,34,Male,19-09-2017,High School
533,HR,71782,21,No,3,24,Male,25-07-2021,Bachelor
538,HR,82643,75,No,1,48,Male,05-06-2024,Master
545,HR,85077,75,No,3,46,Female,16-06-2022,Bachelor
547,HR,58832,26,No,3,46,Female,08-10-2018,Master
548,HR,116120,80,No,2,58,Male,06-12-2021,High School
561,HR,112904,67,No,2,49,Male,22-12-2024,Doctorate
563,HR,63607,41,No,4,34,Male,01-09-2018,Bachelor
564,HR,57507,97,No,5,58,Male,18-12-2021,Bachelor
567,HR,62193,54,No,4,60,Male,13-05-2022,Master
574,HR,114569,112,Yes,2,39,Female,03-10-2021,Master
578,HR,68766,48,No,4,47,Male,23-08-2022,Master
580,HR,85360,35,No,5,44,Male,21-02-2020,Master
586,HR,52458,105,No,5,27,Male,31-01-2020,Master
587,HR,115699,79,No,2,48,Female,29-09-2021,Doctorate
592,HR,100316,116,Yes,4,46,Male,13-11-2016,Bachelor
599,HR,97956,29,No,4,53,Male,12-06-2016,Bachelor
600,HR,59253,25,No,1,29,Female,16-06-2019,Master
607,HR,68893,38,Yes,5,35,Female,28-07-2023,High School
609,HR,113214,16,No,5,32,Female,14-01-2019,Master
613,HR,94453,109,Yes,3,23,Female,09-03-2023,Bachelor
614,HR,97525,60,No,2,23,Male,07-04-2019,High School
631,HR,44441,94,Yes,3,31,Female,24-09-2018,High School
632,HR,55281,17,No,2,46,Female,31-10-2019,Bachelor
638,HR,45583,17,No,4,55,Male,01-06-2015,Doctorate
641,HR,58506,42,Yes,3,24,Male,25-08-2019,High School
651,HR,112453,99,Yes,3,26,Female,15-05-2020,Master
653,HR,65546,104,Yes,1,49,Female,18-01-2019,Master
657,HR,65012,64,No,3,27,Female,28-04-2018,Bachelor
659,HR,42761,84,No,2,35,Male,07-08-2022,Master
660,HR,114546,13,No,3,33,Male,03-12-2016,Bachelor
662,HR,55123,105,No,5,58,Female,02-07-2018,Bachelor
666,HR,111888,76,No,2,34,Female,12-10-2022,Doctorate
667,HR,103258,82,No,1,30,Male,24-05-2021,Master
676,HR,62966,70,No,5,27,Female,16-01-2022,High School
685,HR,70677,65,Yes,2,39,Female,01-09-2022,High School
690,HR,80168,90,No,4,41,Female,24-02-2020,Bachelor
691,HR,89419,15,No,5,26,Male,19-04-2015,Bachelor
693,HR,62114,88,No,4,35,Male,03-08-2022,Bachelor
701,HR,98379,75,No,3,42,Female,11-08-2024,Master
703,HR,74514,90,No,2,60,Male,17-02-2016,Doctorate
704,HR,89764,64,No,2,59,Male,26-03-2018,Bachelor
708,HR,118039,86,No,2,35,Female,03-09-2024,High School
714,HR,101046,15,No,5,41,Male,07-11-2019,Bachelor
715,HR,88288,104,Yes,2,39,Male,23-10-2024,Doctorate
722,HR,70709,17,No,1,25,Male,01-08-2015,Bachelor
724,HR,97915,80,No,2,41,Female,27-04-2023,Bachelor
727,HR,51542,33,No,4,38,Male,05-03-2017,Bachelor
730,HR,42376,92,Yes,4,53,Male,30-05-2016,High School
741,HR,46230,49,No,1,50,Male,27-11-2022,Bachelor
746,HR,53105,108,No,5,35,Male,14-04-2015,Master
752,HR,85331,65,No,2,32,Female,06-04-2024,Bachelor
759,HR,67344,36,No,5,27,Male,10-02-2020,Bachelor
762,HR,72825,71,No,3,53,Female,07-08-2020,Bachelor
768,HR,83343,85,No,2,27,Female,10-03-2018,Bachelor
774,HR,90862,65,Yes,4,27,Male,25-08-2023,Bachelor
782,HR,61681,110,No,2,25,Female,28-06-2023,Doctorate
792,HR,99734,12,No,4,50,Male,21-01-2021,Bachelor
796,HR,40882,47,No,4,26,Female,25-04-2021,Bachelor
804,HR,81103,105,Yes,4,41,Male,12-09-2018,Master
808,HR,77185,23,Yes,5,60,Female,28-04-2015,Master
811,HR,105915,94,No,2,49,Female,23-06-2020,Bachelor
813,HR,93948,64,Yes,4,29,Female,05-09-2016,Bachelor
815,HR,42656,67,Yes,2,36,Male,30-06-2023,Bachelor
816,HR,65318,63,Yes,3,34,Male,01-12-2019,Bachelor
820,HR,80119,29,Yes,3,32,Male,12-12-2020,Master
824,HR,106632,108,No,5,28,Female,28-09-2016,Master
825,HR,100473,33,No,3,36,Female,19-02-2015,Bachelor
827,HR,83865,80,No,5,25,Male,19-08-2016,Bachelor
840,HR,47460,73,Yes,3,52,Male,27-07-2019,Doctorate
844,HR,56077,82,No,2,53,Male,27-02-2021,Bachelor
848,HR,44754,39,No,1,31,Female,19-04-2021,Bachelor
850,HR,108896,39,No,3,24,Male,28-05-2019,Bachelor
856,HR,87958,117,No,3,46,Female,14-03-2018,Bachelor
858,HR,84069,71,Yes,3,60,Male,09-01-2021,Bachelor
867,HR,94154,32,Yes,5,28,Male,01-09-2021,Doctorate
868,HR,115764,16,No,5,35,Male,05-11-2018,Master
870,HR,73085,50,No,3,58,Male,26-08-2018,Doctorate
871,HR,114720,18,No,3,27,Male,25-05-2021,Bachelor
876,HR,44918,119,No,2,60,Female,01-07-2019,Master
878,HR,104151,120,No,3,59,Female,25-07-2017,Master
891,HR,81136,68,No,4,56,Male,03-07-2024,Bachelor
893,HR,42556,13,No,4,39,Male,22-11-2017,High School
894,HR,88195,53,No,4,37,Male,02-09-2021,Bachelor
900,HR,107178,75,No,4,47,Female,12-10-2018,High School
901,HR,43410,74,No,5,26,Female,09-07-2018,Bachelor
903,HR,89300,76,No,4,38,Female,24-09-2015,Bachelor
908,HR,117362,89,No,2,57,Male,30-05-2020,Master
910,HR,118503,51,Yes,3,34,Female,01-08-2024,Bachelor
915,HR,55608,75,No,4,42,Female,31-03-2021,Doctorate
920,HR,66633,78,Yes,2,27,Female,17-10-2019,Bachelor
921,HR,72921,52,No,1,44,Female,04-10-2017,Master
927,HR,105781,39,Yes,2,36,Female,06-02-2022,High School
934,HR,81511,93,No,4,26,Male,20-06-2024,Bachelor
939,HR,44730,59,No,4,49,Female,05-02-2021,Master
941,HR,101895,19,No,1,22,Female,09-04-2022,High School
943,HR,93572,111,No,4,38,Female,02-12-2021,Master
949,HR,98478,32,No,5,55,Female,23-05-2024,Bachelor
951,HR,117325,64,No,3,52,Male,15-06-2015,Bachelor
952,HR,116417,49,No,4,25,Male,21-06-2023,Master
959,HR,117130,100,No,3,38,Male,18-02-2020,Master
970,HR,61201,62,No,3,55,Female,24-12-2015,Bachelor
971,HR,70379,98,No,1,30,Male,30-03-2023,Bachelor
978,HR,70303,12,No,2,49,Male,05-10-2023,Bachelor
981,HR,111667,108,No,1,37,Male,02-11-2020,Bachelor
982,HR,71530,109,No,3,45,Female,24-05-2023,Bachelor
995,HR,94630,73,No,3,47,Male,22-05-2024,Bachelor
998,HR,49609,114,Yes,5,42,Male,13-12-2023,Bachelor
